frame_id,capture_ms,resize_ms,cvtcolor_ms,input_prepare_ms,preprocess_ms,model_total_ms,draw_ms,write_ms,total_ms,fps,detect_count
0,11.980,12.179,1.105,0.007,13.291,32.568,0.216,25.187,83.252,12.012,1
1,119.711,9.779,0.372,0.001,10.152,37.450,0.279,50.601,218.201,4.583,1
2,110.226,9.290,0.389,0.001,9.681,36.061,0.281,37.097,193.351,5.172,1
3,122.123,8.330,0.456,0.003,8.789,34.262,0.317,33.620,199.119,5.022,2
4,124.504,7.954,0.364,0.001,8.320,34.943,0.290,32.081,200.143,4.996,1
5,127.512,8.198,0.405,0.002,8.606,39.174,0.568,48.828,224.696,4.450,2
6,102.492,8.061,0.367,0.001,8.430,24.891,0.232,32.402,168.450,5.936,2
7,136.801,7.996,0.383,0.002,8.381,24.880,0.214,36.392,206.671,4.839,3
8,132.584,8.295,0.396,0.001,8.693,24.976,0.000,50.778,217.034,4.608,0
9,118.157,8.162,0.401,0.001,8.564,35.591,0.000,51.919,214.236,4.668,0
10,106.516,8.002,0.367,0.002,8.371,24.991,0.130,50.828,190.839,5.240,1
11,118.294,7.973,0.394,0.001,8.369,25.084,0.076,43.242,195.068,5.126,1
12,126.075,7.906,0.355,0.002,8.263,38.471,0.233,42.203,215.249,4.646,1
13,116.253,8.370,0.454,0.003,8.827,33.011,0.209,50.653,208.961,4.786,1
14,109.873,8.045,0.491,0.003,8.540,34.777,0.322,51.154,204.672,4.886,2
15,107.814,8.217,0.431,0.003,8.651,38.430,0.187,45.824,200.913,4.977,1
16,109.307,5.704,0.361,0.001,6.066,34.008,0.281,44.564,194.231,5.149,1
17,117.731,8.164,0.485,0.002,8.652,39.690,0.354,71.632,238.069,4.200,1
18,82.068,8.086,0.414,0.003,8.503,35.387,0.446,45.981,172.392,5.801,3
19,111.693,5.717,0.434,0.002,6.153,37.230,0.750,70.759,226.592,4.413,3
20,88.193,8.315,0.408,0.003,8.726,38.839,0.314,45.362,181.441,5.511,2
21,109.361,5.832,0.372,0.001,6.206,36.843,0.672,63.501,216.590,4.617,3
22,95.286,8.434,0.453,0.003,8.889,32.868,0.317,43.027,180.393,5.543,3
23,116.718,5.544,0.365,0.001,5.910,37.389,0.596,43.728,204.347,4.894,2
24,115.224,5.629,0.369,0.002,6.000,38.835,0.587,37.185,197.835,5.055,2
25,117.847,7.917,0.383,0.001,8.302,24.872,0.194,42.418,193.636,5.164,2
26,126.956,7.671,0.377,0.002,8.050,25.080,0.321,47.297,207.707,4.814,4
27,121.983,8.125,0.372,0.001,8.498,25.075,0.151,43.628,199.339,5.017,1
28,125.471,8.123,0.410,0.002,8.534,24.921,0.258,40.506,199.694,5.008,3
29,128.759,7.882,0.388,0.001,8.271,27.530,0.233,37.763,202.560,4.937,2
30,128.787,8.006,0.396,0.001,8.404,26.889,0.290,45.740,210.115,4.759,3
31,121.482,8.037,0.373,0.001,8.411,25.117,0.310,40.322,195.646,5.111,4
32,128.888,7.965,0.394,0.001,8.361,26.387,0.235,45.392,209.267,4.779,3
33,122.321,7.762,0.382,0.001,8.146,24.991,0.220,42.536,198.217,5.045,2
34,127.056,8.075,0.387,0.002,8.464,31.789,0.587,41.722,209.621,4.771,3
35,122.953,8.244,0.426,0.001,8.672,36.833,1.009,56.777,226.251,4.420,6
36,96.648,8.018,0.376,0.002,8.395,24.474,0.209,23.217,152.948,6.538,2
37,146.752,7.726,0.382,0.001,8.109,35.715,0.576,48.653,239.812,4.170,2
38,109.572,8.229,0.375,0.002,8.606,24.455,0.224,36.456,179.317,5.577,2
39,133.072,8.160,0.368,0.001,8.529,24.524,0.151,40.455,206.736,4.837,1
40,129.390,8.063,0.381,0.002,8.446,24.790,0.113,45.741,208.484,4.797,1
41,123.788,7.842,0.418,0.002,8.262,24.704,0.278,41.138,198.174,5.046,3
42,128.623,7.934,0.414,0.001,8.350,24.397,0.321,39.747,201.443,4.964,4
43,130.089,8.032,0.402,0.001,8.435,24.554,0.245,44.223,207.551,4.818,3
44,125.556,7.913,0.377,0.001,8.291,24.631,0.206,40.121,198.807,5.030,2
45,129.515,7.962,0.363,0.001,8.326,24.707,0.237,38.849,201.639,4.959,2
46,130.967,8.006,0.396,0.001,8.403,24.900,0.219,39.299,203.792,4.907,2
47,130.103,8.218,0.400,0.001,8.619,33.508,0.352,41.834,214.420,4.664,2
48,121.248,8.207,0.442,0.002,8.651,33.408,0.416,27.732,191.463,5.223,2
49,132.432,5.623,0.352,0.001,5.977,31.889,0.405,45.767,216.475,4.619,3
50,117.210,7.947,0.413,0.003,8.363,38.361,0.321,44.607,208.868,4.788,2
51,113.038,8.183,0.463,0.003,8.649,38.992,0.638,54.125,215.449,4.641,3
52,97.691,8.083,0.396,0.001,8.481,24.981,0.172,41.340,172.668,5.791,1
53,128.029,8.072,0.390,0.001,8.463,24.987,0.252,41.289,203.025,4.926,3
54,128.080,7.916,0.372,0.002,8.290,34.393,0.556,45.042,216.365,4.622,3
55,117.468,8.365,0.419,0.002,8.787,37.926,0.458,42.748,207.395,4.822,4
56,111.809,7.863,0.386,0.001,8.251,35.683,0.541,45.548,201.838,4.954,2
57,113.760,8.101,0.426,0.002,8.529,39.356,0.685,55.870,218.208,4.583,3
58,95.666,7.901,0.375,0.001,8.278,36.146,0.514,56.714,197.322,5.068,2
59,102.811,8.171,0.391,0.001,8.563,35.933,0.572,54.430,202.314,4.943,2
