frame_id,capture_ms,resize_ms,cvtcolor_ms,input_prepare_ms,preprocess_ms,model_total_ms,draw_ms,write_ms,total_ms,fps,detect_count
0,1.200,0.000,7.051,0.012,7.064,50.798,0.429,48.694,108.199,9.242,1
1,0.400,0.000,0.428,0.001,0.429,35.963,0.000,35.443,72.240,13.843,0
2,0.419,0.000,0.447,0.001,0.449,36.578,0.001,85.074,122.524,8.162,0
3,0.536,0.000,0.597,0.002,0.599,39.431,0.001,60.382,100.954,9.905,0
4,0.532,0.000,0.601,0.001,0.603,34.553,0.001,57.772,93.465,10.699,0
5,0.456,0.000,0.748,0.002,0.750,39.060,0.000,67.887,108.159,9.246,0
6,0.739,0.000,1.096,0.003,1.098,41.365,0.000,39.802,83.012,12.046,0
7,0.409,0.000,0.972,0.001,0.973,37.826,0.000,21.227,60.438,16.546,0
8,28.178,0.000,0.786,0.002,0.789,36.531,0.000,49.396,114.901,8.703,0
9,0.463,0.000,0.520,0.002,0.522,28.055,0.000,23.154,52.198,19.158,0
10,0.412,0.000,0.563,0.001,0.564,25.906,0.000,21.410,48.298,20.705,0
11,0.427,0.000,0.469,0.001,0.470,30.208,0.001,22.841,53.950,18.536,0
12,0.393,0.000,0.475,0.001,0.476,35.821,0.001,20.463,57.157,17.496,0
13,0.779,0.000,0.416,0.002,0.417,34.701,0.000,22.007,57.909,17.269,0
14,0.410,0.000,0.438,0.001,0.439,34.799,0.000,54.665,90.316,11.072,0
15,0.417,0.000,0.473,0.001,0.475,33.878,0.001,18.203,52.976,18.877,0
16,0.418,0.000,0.448,0.002,0.450,33.803,0.001,18.930,53.606,18.655,0
17,0.401,0.000,0.478,0.001,0.480,34.841,0.000,15.316,51.041,19.592,0
18,28.556,0.000,0.585,0.003,0.587,35.721,0.000,22.693,87.564,11.420,0
19,0.429,0.000,0.414,0.001,0.416,36.534,0.000,18.596,55.979,17.864,0
20,17.987,0.000,0.676,0.003,0.679,37.600,0.001,20.156,76.430,13.084,0
21,7.856,0.000,0.426,0.001,0.427,25.751,0.000,15.208,49.245,20.307,0
22,0.401,0.000,0.749,0.002,0.751,36.624,0.001,20.051,57.831,17.292,0
23,34.228,0.000,0.442,0.002,0.444,42.722,0.000,51.502,128.902,7.758,0
24,0.417,0.000,0.894,0.001,0.896,32.782,0.000,21.217,55.315,18.078,0
25,0.415,0.000,0.838,0.001,0.839,25.911,0.000,17.991,45.160,22.144,0
26,4.261,0.000,0.830,0.002,0.832,35.731,0.000,21.322,62.150,16.090,0
27,8.712,0.000,0.404,0.001,0.405,35.387,0.000,19.155,63.664,15.707,0
28,11.936,0.000,0.497,0.001,0.499,38.550,0.001,20.607,71.598,13.967,0
29,0.407,0.000,0.419,0.001,0.420,29.895,0.000,15.312,46.038,21.721,0
30,27.579,0.000,3.506,0.003,3.509,42.359,0.000,37.716,111.171,8.995,0
31,0.418,0.000,0.415,0.001,0.417,24.975,0.000,21.997,47.809,20.916,0
32,1.383,0.000,0.422,0.001,0.424,25.156,0.000,16.228,43.193,23.152,0
33,0.400,0.000,0.429,0.001,0.430,33.233,0.000,20.266,54.333,18.405,0
34,3.873,0.000,0.390,0.001,0.391,35.109,0.000,18.720,58.097,17.213,0
35,12.300,0.000,0.501,0.002,0.503,38.521,0.001,18.609,69.938,14.298,0
36,0.395,0.000,0.470,0.001,0.472,34.583,0.000,17.908,53.363,18.740,0
37,22.775,0.000,0.664,0.003,0.667,41.932,0.000,41.170,106.551,9.385,0
38,0.438,0.000,0.439,0.001,0.440,26.748,0.000,22.805,50.435,19.827,0
39,0.446,0.000,0.458,0.001,0.460,36.596,0.001,22.437,59.942,16.683,0
40,0.421,0.000,0.483,0.001,0.484,34.262,0.001,21.170,56.341,17.749,0
41,0.396,0.000,0.421,0.001,0.423,40.311,0.000,17.138,58.272,17.161,0
42,0.420,0.000,0.416,0.001,0.417,25.693,0.000,15.068,41.601,24.038,0
43,15.840,0.000,0.564,0.002,0.566,38.978,0.001,17.733,73.126,13.675,0
44,8.784,0.000,0.410,0.001,0.410,39.556,0.000,17.304,66.059,15.138,0
45,9.430,0.000,0.494,0.002,0.496,38.754,0.000,18.231,66.915,14.944,0
46,9.125,0.000,0.484,0.002,0.487,37.724,0.000,18.616,65.956,15.162,0
47,9.698,0.000,0.413,0.001,0.414,38.460,0.001,17.837,66.414,15.057,0
48,9.893,0.000,0.427,0.001,0.428,38.362,0.000,18.618,67.305,14.858,0
49,9.220,0.000,0.424,0.001,0.426,36.621,0.000,22.482,68.753,14.545,0
50,7.046,0.000,0.447,0.001,0.449,35.970,0.000,21.316,64.785,15.436,0
51,8.990,0.000,0.397,0.001,0.398,36.526,0.001,20.538,66.456,15.047,0
52,8.989,0.000,0.408,0.001,0.410,35.754,0.000,18.845,64.002,15.624,0
53,11.849,0.000,0.513,0.002,0.515,36.406,0.000,20.457,69.233,14.444,0
54,9.009,0.000,0.408,0.001,0.410,35.599,0.001,39.061,84.083,11.893,0
55,0.403,0.000,0.432,0.001,0.433,38.613,0.001,31.267,70.720,14.140,0
56,0.397,0.000,0.461,0.001,0.462,25.297,0.001,17.238,43.398,23.043,0
57,10.588,0.000,0.412,0.001,0.413,28.966,0.001,15.107,55.078,18.156,0
58,22.692,0.000,0.643,0.002,0.645,40.649,0.000,29.926,93.919,10.647,0
59,0.422,0.000,0.401,0.001,0.402,25.126,0.000,14.359,40.313,24.806,0
