frame_id,capture_ms,resize_ms,cvtcolor_ms,input_prepare_ms,preprocess_ms,model_total_ms,draw_ms,write_ms,total_ms,fps,detect_count
0,0.674,0.000,6.588,0.013,6.601,49.265,0.000,0.000,56.553,17.682,0
1,0.598,0.000,0.492,0.002,0.494,39.588,0.001,0.000,40.684,24.579,0
2,19.915,0.000,1.032,0.004,1.036,41.633,0.001,0.000,62.594,15.976,0
3,23.076,0.000,0.678,0.003,0.681,50.860,0.001,0.000,74.625,13.400,0
4,17.739,0.000,1.103,0.004,1.107,45.563,0.000,0.000,64.420,15.523,0
5,19.088,0.000,1.070,0.004,1.074,42.241,0.001,0.000,62.443,16.015,0
6,21.262,0.000,0.689,0.003,0.692,46.029,0.000,0.000,67.991,14.708,0
7,20.169,0.000,0.726,0.003,0.729,45.172,0.001,0.000,66.078,15.134,0
8,20.063,0.000,0.625,0.002,0.627,42.023,0.001,0.000,62.719,15.944,0
9,24.742,0.000,0.857,0.003,0.860,42.845,0.000,0.000,68.457,14.608,0
10,22.913,0.000,0.756,0.003,0.760,43.855,0.000,0.000,67.537,14.807,0
11,21.381,0.000,0.739,0.003,0.742,42.448,0.000,0.000,64.578,15.485,0
12,23.729,0.000,0.722,0.003,0.725,40.390,0.001,0.000,64.852,15.420,0
13,24.610,0.000,0.930,0.002,0.932,40.670,0.000,0.000,66.219,15.101,0
14,26.535,0.000,1.576,0.004,1.580,41.669,0.000,0.000,69.796,14.327,0
15,22.080,0.000,1.851,0.002,1.854,41.350,0.000,0.000,65.292,15.316,0
16,22.854,0.000,1.082,0.002,1.084,40.787,0.001,0.000,64.732,15.448,0
17,26.253,0.000,1.474,0.004,1.478,30.688,0.000,0.000,58.430,17.115,0
18,32.803,0.000,0.636,0.003,0.639,28.752,0.000,0.000,62.198,16.078,0
19,38.073,0.000,0.852,0.004,0.856,43.744,0.000,0.000,82.683,12.094,0
20,21.092,0.000,0.568,0.002,0.571,39.716,0.000,0.000,61.386,16.290,0
21,0.624,0.000,0.445,0.002,0.447,52.011,0.001,0.000,53.089,18.836,0
22,39.865,0.000,0.885,0.002,0.887,40.473,0.001,0.000,81.232,12.310,0
23,0.632,0.000,0.569,0.001,0.571,45.467,0.001,0.000,46.677,21.424,0
24,45.668,0.000,1.454,0.003,1.457,43.802,0.001,0.000,90.937,10.997,0
25,0.619,0.000,0.860,0.001,0.862,48.268,0.000,0.000,49.755,20.099,0
26,37.258,0.000,0.836,0.002,0.838,38.843,0.000,0.000,76.946,12.996,0
27,0.592,0.000,0.867,0.001,0.868,48.974,0.000,0.000,50.441,19.825,0
28,43.732,0.001,1.298,0.003,1.301,44.142,0.000,0.000,89.184,11.213,0
29,0.643,0.000,0.839,0.002,0.840,49.202,0.001,0.000,50.692,19.727,0
30,36.092,0.000,0.925,0.002,0.927,38.802,0.001,0.000,75.828,13.188,0
31,0.618,0.000,0.744,0.001,0.746,44.848,0.000,0.000,46.218,21.637,0
32,47.146,0.000,0.940,0.003,0.943,39.296,0.001,0.000,87.393,11.443,0
33,0.603,0.000,0.758,0.001,0.760,49.201,0.000,0.000,50.568,19.775,0
34,41.945,0.000,0.505,0.002,0.507,39.704,0.000,0.000,82.163,12.171,0
35,0.607,0.000,0.527,0.001,0.529,39.926,0.001,0.000,41.068,24.350,0
36,52.683,0.000,1.091,0.003,1.094,43.378,0.000,0.000,97.163,10.292,0
37,0.633,0.000,0.887,0.002,0.889,46.162,0.000,0.000,47.689,20.969,0
38,40.562,0.000,0.891,0.002,0.893,40.614,0.000,0.000,82.077,12.184,0
39,0.627,0.000,0.782,0.002,0.784,45.162,0.000,0.000,46.578,21.469,0
40,45.325,0.000,0.682,0.002,0.685,41.866,0.000,0.000,87.884,11.379,0
41,0.835,0.000,0.440,0.002,0.442,44.936,0.000,0.000,46.220,21.636,0
42,44.263,0.000,1.137,0.003,1.140,39.160,0.000,0.000,84.573,11.824,0
43,0.634,0.000,0.452,0.001,0.454,42.771,0.001,0.000,43.865,22.797,0
44,49.763,0.000,2.410,0.004,2.414,45.024,0.000,0.000,97.211,10.287,0
45,0.624,0.000,0.776,0.001,0.778,45.376,0.001,0.000,46.783,21.375,0
46,37.826,0.000,0.782,0.002,0.784,40.211,0.000,0.000,78.829,12.686,0
47,0.641,0.000,0.766,0.001,0.768,47.691,0.000,0.000,49.107,20.364,0
48,42.432,0.001,1.019,0.003,1.022,40.460,0.000,0.000,83.920,11.916,0
49,0.653,0.000,0.825,0.001,0.826,45.432,0.000,0.000,46.917,21.314,0
50,46.185,0.001,1.484,0.004,1.488,39.505,0.001,0.000,87.190,11.469,0
51,0.618,0.000,0.849,0.001,0.851,48.815,0.000,0.000,50.289,19.885,0
52,41.220,0.000,1.246,0.002,1.249,41.909,0.000,0.000,84.385,11.850,0
53,0.644,0.000,1.184,0.002,1.186,50.717,0.001,0.000,52.553,19.028,0
54,36.825,0.000,0.815,0.003,0.818,41.861,0.000,0.000,79.513,12.577,0
55,0.657,0.000,1.178,0.002,1.180,41.367,0.001,0.000,43.209,23.143,0
56,48.166,0.001,1.138,0.003,1.142,39.204,0.001,0.000,88.520,11.297,0
57,0.621,0.000,0.440,0.001,0.441,45.231,0.001,0.000,46.297,21.600,0
58,44.591,0.000,0.504,0.002,0.506,38.071,0.000,0.000,83.173,12.023,0
59,0.628,0.000,0.862,0.002,0.864,54.889,0.000,0.000,56.388,17.734,0
