frame_id,select_ms,dqbuf_ms,rga_ms,qbuf_ms,total_ms,fps,bytesused
0,77.970,0.032,5.771,0.181,83.963,11.910,1382400
1,27.684,0.013,6.285,0.138,34.127,29.302,1382400
2,26.628,0.011,3.150,0.088,29.882,33.465,1382400
3,30.715,0.013,6.737,0.180,37.651,26.560,1382400
4,26.648,0.018,8.198,0.267,35.141,28.457,1382400
5,24.077,0.011,3.936,0.106,28.134,35.544,1382400
6,30.577,0.017,7.013,0.265,37.881,26.398,1382400
7,25.478,0.017,7.123,0.311,32.938,30.360,1382400
8,25.153,0.085,3.595,0.088,28.928,34.568,1382400
9,29.644,0.021,6.131,0.134,35.938,27.825,1382400
10,27.288,0.011,5.162,0.106,32.574,30.700,1382400
11,26.999,0.024,4.082,0.134,31.244,32.006,1382400
12,29.344,0.021,6.219,0.106,35.696,28.014,1382400
13,26.958,0.022,7.066,0.265,34.320,29.138,1382400
14,25.393,0.013,3.549,0.107,29.069,34.401,1382400
15,29.865,0.022,7.067,0.106,37.066,26.979,1382400
16,25.887,0.018,5.098,0.210,31.222,32.028,1382400
17,27.842,0.015,4.094,0.133,32.092,31.160,1382400
18,29.138,0.018,4.897,0.178,34.238,29.208,1382400
19,28.100,0.019,5.256,0.155,33.537,29.818,1382400
20,27.652,0.011,3.158,0.091,30.918,32.343,1382400
21,30.439,0.022,6.390,0.109,36.968,27.050,1382400
22,26.746,0.036,7.175,0.106,34.071,29.350,1382400
23,25.483,0.011,2.617,0.068,28.184,35.481,1382400
24,30.758,0.017,4.431,0.182,35.394,28.254,1382400
25,28.574,0.013,3.655,0.110,32.359,30.903,1382400
26,29.379,0.009,2.515,0.074,31.983,31.266,1382400
27,30.889,0.018,5.339,0.179,36.434,27.447,1382400
28,27.715,0.018,5.095,0.202,33.037,30.269,1382400
29,27.775,0.013,3.479,0.106,31.378,31.869,1382400
30,29.930,0.021,7.152,0.266,37.379,26.753,1382400
31,27.558,0.011,5.980,0.074,33.631,29.734,1382400
32,24.948,0.009,2.493,0.062,27.518,36.340,1382400
33,30.732,0.011,2.657,0.070,33.476,29.872,1382400
34,30.475,0.008,2.598,0.070,33.156,30.161,1382400
35,30.811,0.018,3.531,0.070,34.437,29.039,1382400
36,29.656,0.020,5.310,0.181,35.189,28.418,1382400
