frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,50.090,0.024,6.316,0.002,57.906,0.000,24.390,0.078,138.859,7.202,0,1382400
1,0.008,0.006,2.556,0.001,39.744,0.001,0.000,0.057,42.378,23.597,0,1382400
2,0.006,0.004,2.593,0.001,46.850,0.000,0.000,0.074,49.532,20.189,0,1382400
3,0.006,0.005,2.594,0.002,42.609,0.001,0.000,0.083,45.305,22.073,0,1382400
4,0.008,0.006,2.564,0.002,47.125,0.000,0.000,0.072,49.784,20.087,0,1382400
5,0.006,0.004,2.615,0.002,44.781,0.000,0.000,0.079,47.494,21.055,0,1382400
6,0.007,0.006,2.585,0.002,48.973,0.001,0.000,0.076,51.655,19.359,0,1382400
7,0.007,0.005,2.684,0.002,45.797,0.001,0.000,0.082,48.582,20.584,0,1382400
8,0.011,0.006,2.693,0.002,44.521,0.000,0.000,0.071,47.310,21.137,0,1382400
9,0.008,0.004,2.516,0.002,42.248,0.001,0.000,0.079,44.863,22.290,0,1382400
10,0.009,0.006,2.665,0.002,49.032,0.000,0.000,0.080,51.800,19.305,0,1382400
11,0.007,0.005,2.647,0.002,50.287,0.001,0.000,0.083,53.037,18.855,0,1382400
12,0.007,0.006,2.637,0.002,50.412,0.001,0.000,0.072,53.141,18.818,0,1382400
13,0.005,0.004,2.563,0.002,50.289,0.001,0.000,0.083,52.953,18.885,0,1382400
14,0.007,0.006,2.528,0.002,50.354,0.000,0.000,0.072,52.974,18.877,0,1382400
15,0.006,0.004,2.432,0.001,46.549,0.000,0.000,0.083,49.082,20.374,0,1382400
16,0.008,0.007,2.515,0.001,41.100,0.001,0.000,0.073,43.710,22.878,0,1382400
17,0.008,0.005,2.401,0.001,46.523,0.000,0.000,0.081,49.025,20.398,0,1382400
18,0.013,0.006,2.547,0.001,50.187,0.001,0.000,0.072,52.831,18.928,0,1382400
19,0.008,0.005,2.499,0.001,50.478,0.001,0.000,0.082,53.078,18.840,0,1382400
20,0.008,0.006,2.478,0.002,48.892,0.000,0.000,0.079,51.471,19.428,0,1382400
21,0.008,0.006,2.549,0.002,51.462,0.001,0.000,0.099,54.131,18.474,0,1382400
22,0.007,0.005,2.656,0.002,50.171,0.000,0.000,0.078,52.924,18.895,0,1382400
23,0.008,0.006,2.553,0.001,52.164,0.001,0.000,0.072,54.811,18.244,0,1382400
24,0.006,0.004,2.500,0.002,52.671,0.000,0.000,0.083,55.273,18.092,0,1382400
25,0.013,0.006,2.519,0.001,41.457,0.000,0.000,0.084,44.085,22.683,0,1382400
26,0.015,0.007,2.591,0.001,38.182,0.000,0.000,0.082,40.887,24.458,0,1382400
27,0.008,0.006,2.469,0.001,46.457,0.001,0.000,0.111,49.059,20.384,0,1382400
28,0.011,0.007,3.080,0.002,49.161,0.000,0.000,0.079,52.348,19.103,0,1382400
29,0.008,0.005,2.649,0.001,38.936,0.000,0.000,0.082,41.687,23.989,0,1382400
30,0.008,0.006,2.588,0.002,45.577,0.001,21.782,0.095,70.099,14.265,0,1382400
31,0.009,0.006,2.660,0.001,44.331,0.001,0.000,0.110,47.123,21.221,0,1382400
32,0.011,0.007,3.031,0.001,67.375,0.001,0.000,0.193,70.626,14.159,0,1382400
33,0.018,0.011,4.980,0.001,46.518,0.001,0.000,0.111,51.649,19.361,0,1382400
34,0.013,0.008,3.057,0.001,52.607,0.001,0.000,0.089,55.781,17.927,0,1382400
35,0.009,0.006,2.603,0.002,68.853,0.001,0.000,0.209,71.691,13.949,0,1382400
36,0.021,0.013,5.102,0.001,49.790,0.001,0.000,0.121,55.057,18.163,0,1382400
37,0.012,0.007,3.383,0.001,46.525,0.000,0.000,0.091,50.026,19.990,0,1382400
38,0.009,0.006,2.626,0.001,43.655,0.001,0.000,0.072,46.375,21.563,0,1382400
