frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,46.964,0.009,3.146,0.002,51.766,0.000,24.336,0.070,126.345,7.915,0,1382400
1,0.008,0.005,2.548,0.002,45.770,0.903,0.000,0.081,49.323,20.274,1,1382400
2,0.006,0.006,2.553,0.001,50.385,0.747,0.000,0.075,53.778,18.595,1,1382400
3,0.006,0.005,2.540,0.001,49.074,0.001,0.000,0.071,51.704,19.341,0,1382400
4,0.007,0.005,2.561,0.001,45.983,0.000,0.000,0.080,48.643,20.558,0,1382400
5,0.010,0.006,2.475,0.001,45.511,0.000,0.000,0.080,48.089,20.795,0,1382400
6,0.007,0.006,2.876,0.002,43.406,0.001,0.000,0.072,46.376,21.563,0,1382400
7,0.006,0.004,2.592,0.002,44.113,0.001,0.000,0.076,46.799,21.368,0,1382400
8,0.009,0.005,2.439,0.001,45.450,0.000,0.000,0.072,47.982,20.841,0,1382400
9,0.006,0.004,2.458,0.001,64.898,0.001,0.000,0.193,67.568,14.800,0,1382400
10,0.014,0.011,4.856,0.001,46.138,0.000,0.000,0.088,51.117,19.563,0,1382400
11,0.009,0.006,2.570,0.002,51.822,0.001,0.000,0.126,54.542,18.334,0,1382400
12,0.012,0.008,3.443,0.002,48.205,0.000,0.000,0.084,51.761,19.320,0,1382400
13,0.007,0.006,2.546,0.002,49.617,0.001,0.000,0.099,52.284,19.126,0,1382400
14,0.008,0.007,2.878,0.002,51.694,0.001,0.000,0.422,55.022,18.175,0,1382400
15,0.010,0.009,3.406,0.001,39.113,0.001,0.000,0.082,42.629,23.458,0,1382400
16,0.008,0.006,2.489,0.001,46.510,0.001,0.000,0.110,49.130,20.354,0,1382400
17,0.013,0.008,3.218,0.001,47.420,0.000,0.000,0.085,50.750,19.704,0,1382400
18,0.008,0.006,2.716,0.002,46.507,0.000,0.000,0.092,49.337,20.269,0,1382400
19,0.013,0.007,2.790,0.002,40.746,0.001,0.000,0.072,43.636,22.917,0,1382400
20,0.006,0.004,2.590,0.002,43.967,0.000,0.000,0.081,46.657,21.433,0,1382400
21,0.008,0.006,2.573,0.002,59.609,0.001,0.000,0.149,62.355,16.037,0,1382400
22,0.013,0.009,3.929,0.002,40.777,0.000,0.000,0.085,44.824,22.310,0,1382400
23,0.012,0.006,2.449,0.001,38.076,0.000,0.000,0.072,40.621,24.618,0,1382400
24,0.006,0.004,2.535,0.001,40.419,0.001,0.000,0.106,43.079,23.213,0,1382400
25,0.013,0.007,3.007,0.001,40.520,0.000,0.000,0.094,43.650,22.910,0,1382400
26,0.011,0.007,2.607,0.001,40.376,0.720,0.000,0.082,43.809,22.826,1,1382400
27,0.007,0.006,2.513,0.002,51.745,1.843,0.000,0.119,56.243,17.780,1,1382400
28,0.009,0.007,3.411,0.001,43.824,0.001,0.000,0.091,47.351,21.119,0,1382400
29,0.007,0.006,2.932,0.002,37.069,0.001,0.000,0.099,40.122,24.924,0,1382400
30,0.010,0.005,2.680,0.001,38.393,0.000,0.000,0.081,41.176,24.286,0,1382400
31,0.009,0.006,2.629,0.002,54.153,0.001,0.000,0.147,56.954,17.558,0,1382400
32,0.011,0.009,3.878,0.001,43.163,1.466,0.000,0.076,48.611,20.572,2,1382400
33,0.008,0.005,2.521,0.001,41.418,2.147,0.000,0.071,46.176,21.656,3,1382400
34,0.007,0.004,2.549,0.001,57.466,1.751,0.000,0.155,61.941,16.144,1,1382400
35,0.016,0.010,4.607,0.002,49.349,0.785,0.000,0.075,54.849,18.232,1,1382400
36,0.009,0.005,2.583,0.001,44.064,0.001,0.000,0.080,46.748,21.391,0,1382400
37,0.006,0.005,2.651,0.002,43.570,0.904,0.000,0.094,47.238,21.169,1,1382400
38,0.010,0.007,2.646,0.002,46.004,0.000,0.000,0.078,48.753,20.512,0,1382400
39,0.010,0.006,2.624,0.002,46.633,0.000,0.000,0.073,49.353,20.262,0,1382400
40,0.006,0.006,2.558,0.002,47.180,0.001,0.000,0.089,49.847,20.061,0,1382400
41,0.008,0.006,2.561,0.002,42.716,0.958,0.000,0.071,46.328,21.585,1,1382400
42,0.007,0.004,2.505,0.001,44.738,0.001,0.000,0.082,47.342,21.123,0,1382400
43,0.007,0.006,2.545,0.002,56.561,2.019,0.000,0.148,61.295,16.315,1,1382400
44,0.013,0.009,4.194,0.002,63.883,2.005,0.000,0.147,70.262,14.232,1,1382400
45,0.027,0.010,4.214,0.002,55.645,1.934,0.000,0.153,61.993,16.131,1,1382400
46,0.014,0.010,3.995,0.001,38.230,1.805,0.000,0.078,44.139,22.655,2,1382400
47,0.008,0.006,2.589,0.001,48.579,0.992,0.000,0.083,52.265,19.133,1,1382400
48,0.008,0.006,2.615,0.001,48.142,0.983,0.000,0.081,51.841,19.290,1,1382400
49,0.007,0.006,2.470,0.001,46.087,0.911,0.000,0.078,49.565,20.176,1,1382400
50,0.008,0.006,2.589,0.002,45.984,3.046,0.000,0.080,51.721,19.335,4,1382400
51,0.007,0.006,2.503,0.002,47.936,1.646,0.000,0.081,52.186,19.162,2,1382400
52,0.006,0.006,2.567,0.001,48.490,2.343,0.000,0.070,53.489,18.695,3,1382400
53,0.008,0.004,2.603,0.002,45.171,0.910,0.000,0.083,48.788,20.497,1,1382400
54,0.007,0.005,2.572,0.002,47.308,3.443,0.000,0.101,53.444,18.711,3,1382400
55,0.008,0.006,3.827,0.002,55.844,2.015,0.000,0.146,61.855,16.167,1,1382400
56,0.010,0.008,3.922,0.002,44.421,1.632,0.000,0.079,50.081,19.968,2,1382400
57,0.010,0.006,2.564,0.001,48.599,1.608,0.000,0.075,52.870,18.914,2,1382400
58,0.009,0.005,2.565,0.002,48.059,0.907,0.000,0.080,51.632,19.368,1,1382400
59,0.012,0.006,2.559,0.002,49.641,0.907,0.000,0.076,53.208,18.794,1,1382400
60,0.006,0.006,2.521,0.001,58.581,1.952,0.000,0.148,63.223,15.817,1,1382400
61,0.014,0.008,4.012,0.001,49.231,1.806,0.000,0.129,55.208,18.113,1,1382400
62,0.013,0.009,3.467,0.002,46.747,2.099,0.000,0.093,52.435,19.071,2,1382400
63,0.008,0.006,2.934,0.001,44.998,1.136,0.000,0.116,49.206,20.323,1,1382400
64,0.011,0.007,2.745,0.002,51.332,0.911,0.000,0.074,55.088,18.153,1,1382400
65,0.008,0.005,2.566,0.002,46.638,2.138,0.000,0.116,51.479,19.425,2,1382400
