frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,47.100,0.011,3.675,0.001,60.690,0.000,25.085,0.080,136.668,7.317,0,1382400
1,0.008,0.006,2.621,0.001,47.479,1.016,0.000,0.074,51.209,19.528,1,1382400
2,0.006,0.005,2.533,0.002,41.464,0.000,0.000,0.081,44.094,22.679,0,1382400
3,0.013,0.006,2.546,0.002,45.597,0.001,0.000,0.102,48.272,20.716,0,1382400
4,0.009,0.007,3.482,0.001,50.931,0.000,0.000,0.078,54.513,18.344,0,1382400
5,0.010,0.005,2.573,0.001,45.786,0.000,0.000,0.091,48.473,20.630,0,1382400
6,0.009,0.005,2.863,0.002,49.547,0.000,0.000,0.088,52.520,19.040,0,1382400
7,0.008,0.006,2.670,0.002,45.349,0.001,0.000,0.071,48.111,20.785,0,1382400
8,0.006,0.004,2.528,0.001,43.209,0.001,0.000,0.083,45.837,21.816,0,1382400
9,0.010,0.006,2.751,0.002,42.618,0.000,0.000,0.081,45.473,21.991,0,1382400
10,0.009,0.006,2.531,0.001,49.619,0.001,0.000,0.080,52.252,19.138,0,1382400
11,0.007,0.005,2.549,0.002,49.642,0.000,0.000,0.083,52.295,19.122,0,1382400
12,0.008,0.006,2.587,0.001,50.208,0.000,0.000,0.082,52.899,18.904,0,1382400
13,0.008,0.006,2.568,0.002,48.918,0.000,0.000,0.071,51.577,19.388,0,1382400
14,0.006,0.004,2.478,0.001,46.543,0.001,0.000,0.078,49.115,20.360,0,1382400
15,0.008,0.006,2.539,0.001,47.996,0.000,0.000,0.070,50.625,19.753,0,1382400
16,0.008,0.004,2.531,0.002,48.621,0.000,0.000,0.081,51.252,19.512,0,1382400
17,0.011,0.006,2.572,0.002,47.771,0.000,0.000,0.072,50.440,19.826,0,1382400
18,0.006,0.004,2.590,0.002,50.916,0.000,0.000,0.084,53.606,18.655,0,1382400
19,0.007,0.006,2.611,0.001,49.931,0.001,0.000,0.075,52.637,18.998,0,1382400
20,0.006,0.004,2.591,0.001,47.905,0.000,0.000,0.085,50.598,19.764,0,1382400
21,0.011,0.005,2.575,0.002,48.466,0.001,0.000,0.070,51.134,19.557,0,1382400
22,0.005,0.004,2.528,0.002,48.761,0.000,0.000,0.085,51.391,19.459,0,1382400
23,0.012,0.006,2.518,0.001,43.083,0.000,0.000,0.072,45.697,21.883,0,1382400
24,0.006,0.004,2.524,0.002,48.052,0.000,0.000,0.081,50.675,19.734,0,1382400
25,0.007,0.005,2.685,0.002,47.623,0.000,0.000,0.072,50.400,19.841,0,1382400
26,0.006,0.004,2.564,0.001,45.316,0.000,0.000,0.079,47.974,20.844,0,1382400
27,0.009,0.006,2.493,0.002,47.160,0.000,0.000,0.097,49.772,20.092,0,1382400
28,0.011,0.005,2.534,0.001,52.086,0.001,0.000,0.080,54.723,18.274,0,1382400
29,0.007,0.006,2.499,0.001,44.981,0.000,0.000,0.071,47.568,21.023,0,1382400
