frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,40.436,0.008,2.589,0.001,37.809,0.663,23.288,0.078,104.882,9.535,3,1382400
1,0.006,0.006,2.500,0.001,29.282,0.988,0.000,0.080,32.865,30.428,5,1382400
2,0.008,0.006,2.468,0.000,28.777,1.206,0.000,0.074,32.540,30.732,6,1382400
3,0.008,0.005,2.350,0.001,27.997,1.091,0.000,0.077,31.531,31.715,6,1382400
4,0.007,0.006,2.384,0.001,27.306,1.071,0.000,0.081,30.855,32.409,6,1382400
5,0.008,0.006,2.417,0.000,28.440,1.098,0.000,0.075,32.045,31.206,6,1382400
6,0.010,0.005,2.367,0.000,27.739,0.792,0.000,0.080,30.996,32.262,4,1382400
7,0.007,0.006,2.428,0.000,27.092,0.943,0.000,0.076,30.554,32.729,5,1382400
8,0.008,0.006,2.402,0.000,27.691,0.774,0.000,0.078,30.959,32.301,4,1382400
9,0.008,0.006,2.391,0.000,27.425,0.976,0.000,0.072,30.881,32.383,5,1382400
10,0.007,0.004,2.346,0.000,28.274,0.883,0.000,0.071,31.588,31.657,5,1382400
11,0.006,0.004,2.381,0.000,28.854,1.152,0.000,0.072,32.472,30.796,7,1382400
12,0.008,0.005,2.416,0.000,27.992,1.018,0.000,0.073,31.514,31.732,6,1382400
13,0.006,0.004,2.449,0.001,28.796,0.778,0.000,0.071,32.107,31.146,4,1382400
14,0.007,0.004,2.359,0.000,27.464,0.797,0.000,0.071,30.704,32.569,4,1382400
15,0.006,0.005,2.378,0.000,28.069,0.886,0.000,0.071,31.417,31.830,5,1382400
16,0.008,0.004,2.420,0.001,29.420,0.907,0.000,0.071,32.832,30.459,5,1382400
17,0.006,0.004,2.398,0.000,27.016,0.906,0.000,0.070,30.401,32.894,5,1382400
18,0.006,0.004,2.399,0.001,28.576,0.924,0.000,0.078,31.989,31.261,5,1382400
19,0.482,0.005,2.358,0.000,27.870,0.596,0.000,0.078,31.392,31.855,3,1382400
20,2.353,0.006,2.369,0.000,29.046,0.743,0.000,0.079,34.597,28.904,4,1382400
21,0.993,0.005,2.540,0.001,27.947,0.564,0.000,0.081,32.132,31.122,3,1382400
22,2.160,0.005,2.374,0.000,27.666,0.892,0.000,0.078,33.177,30.142,5,1382400
23,2.276,0.005,2.355,0.001,28.919,0.914,0.000,0.078,34.549,28.944,5,1382400
24,1.026,0.005,2.334,0.000,27.164,0.717,0.000,0.077,31.325,31.923,4,1382400
25,2.999,0.006,2.473,0.001,29.449,0.714,0.000,0.081,35.725,27.991,4,1382400
26,0.610,0.006,2.412,0.001,24.885,0.221,0.000,0.034,28.172,35.497,3,1382400
27,5.712,0.002,1.745,0.000,27.568,0.540,0.000,0.078,35.647,28.053,3,1382400
28,3.405,0.006,2.336,0.001,29.183,0.751,0.000,0.075,35.758,27.965,4,1382400
29,0.900,0.006,2.403,0.000,28.697,0.442,0.000,0.077,32.526,30.745,2,1382400
30,1.810,0.006,2.371,0.001,27.209,0.734,0.000,0.073,32.205,31.051,4,1382400
31,2.826,0.006,2.393,0.001,28.691,0.738,0.000,0.074,34.731,28.792,4,1382400
32,1.390,0.005,2.355,0.001,27.264,0.776,0.000,0.078,31.870,31.377,4,1382400
33,2.787,0.006,2.353,0.000,28.099,0.742,0.000,0.074,34.063,29.358,4,1382400
34,1.982,0.005,2.360,0.000,27.358,0.616,0.000,0.072,32.396,30.868,3,1382400
35,2.882,0.005,2.386,0.001,29.126,0.787,0.000,0.076,35.263,28.358,4,1382400
36,0.918,0.006,2.392,0.000,27.780,0.925,0.000,0.080,32.104,31.149,5,1382400
37,2.224,0.006,2.359,0.000,30.436,0.613,0.000,0.071,35.709,28.004,3,1382400
38,0.006,0.004,2.369,0.000,27.929,0.972,0.000,0.078,31.360,31.888,5,1382400
39,1.728,0.006,2.353,0.001,27.155,0.767,0.000,0.074,32.085,31.167,4,1382400
40,2.891,0.005,2.337,0.001,27.864,0.413,0.000,0.075,33.587,29.773,2,1382400
41,2.639,0.005,2.346,0.000,28.837,0.583,0.000,0.081,34.494,28.990,3,1382400
42,1.418,0.006,2.318,0.001,29.173,0.741,0.000,0.074,33.734,29.644,4,1382400
43,0.978,0.006,2.362,0.000,27.457,0.509,0.000,0.073,31.388,31.860,3,1382400
44,2.971,0.005,2.357,0.001,28.781,0.759,0.000,0.081,34.957,28.606,4,1382400
45,1.287,0.006,2.365,0.000,27.292,0.510,0.000,0.080,31.541,31.705,3,1382400
46,3.001,0.006,2.382,0.001,28.233,0.686,0.000,0.078,34.388,29.080,4,1382400
47,1.902,0.005,2.358,0.001,27.337,0.547,0.000,0.074,32.225,31.031,3,1382400
48,3.010,0.005,2.365,0.001,28.427,0.533,0.000,0.074,34.416,29.056,3,1382400
49,1.854,0.005,2.344,0.000,28.580,0.541,0.000,0.074,33.400,29.940,3,1382400
50,1.824,0.005,2.347,0.001,30.329,0.743,0.000,0.070,35.323,28.310,4,1382400
51,0.008,0.004,2.384,0.000,27.665,0.541,0.000,0.081,30.684,32.590,3,1382400
52,2.343,0.007,2.393,0.001,27.982,0.392,0.000,0.081,33.200,30.120,2,1382400
53,2.433,0.005,2.430,0.001,27.742,0.403,0.000,0.076,33.092,30.219,2,1382400
54,2.643,0.006,2.376,0.001,28.530,0.547,0.000,0.078,34.183,29.254,3,1382400
55,1.760,0.006,2.337,0.000,29.131,0.539,0.000,0.076,33.850,29.542,3,1382400
56,1.240,0.006,2.358,0.000,28.652,0.595,0.000,0.081,32.934,30.364,3,1382400
57,1.670,0.006,2.887,0.001,28.043,0.598,0.000,0.075,33.282,30.046,3,1382400
58,1.677,0.006,2.701,0.000,29.117,0.597,0.000,0.093,34.192,29.247,3,1382400
59,0.691,0.006,2.366,0.001,29.019,0.581,0.000,0.079,32.744,30.540,3,1382400
60,1.240,0.005,2.372,0.000,27.729,0.454,0.000,0.074,31.876,31.372,2,1382400
61,2.624,0.005,2.411,0.001,27.632,0.701,0.000,0.074,33.450,29.896,4,1382400
62,2.509,0.005,2.324,0.000,29.564,0.707,0.000,0.078,35.189,28.418,4,1382400
63,0.568,0.005,2.395,0.000,29.919,0.438,0.000,0.081,33.408,29.933,2,1382400
64,0.463,0.004,2.438,0.001,28.873,0.732,0.000,0.080,32.594,30.681,4,1382400
65,1.249,0.006,2.325,0.001,29.037,1.030,0.000,0.078,33.725,29.651,6,1382400
66,0.711,0.005,2.374,0.000,27.676,0.707,0.000,0.073,31.548,31.698,4,1382400
67,2.505,0.006,2.386,0.001,29.269,0.851,0.000,0.084,35.102,28.488,5,1382400
68,0.660,0.006,2.373,0.001,30.040,0.876,0.000,0.071,34.029,29.387,5,1382400
69,0.006,0.004,2.404,0.000,27.802,1.010,0.000,0.074,31.301,31.948,6,1382400
70,1.963,0.006,2.398,0.001,29.730,0.775,0.000,0.076,34.951,28.612,4,1382400
71,0.309,0.006,2.377,0.000,28.407,1.050,0.000,0.071,32.223,31.034,6,1382400
72,1.384,0.005,2.376,0.000,28.998,1.017,0.000,0.074,33.856,29.537,6,1382400
73,0.787,0.005,2.329,0.001,28.302,1.127,0.000,0.077,32.630,30.647,6,1382400
