frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,49.134,0.008,2.605,0.001,51.939,0.001,51.792,0.134,155.641,6.425,0,1382400
1,0.012,0.007,4.198,0.002,43.696,0.001,0.000,0.082,48.004,20.832,0,1382400
2,0.006,0.005,2.743,0.001,55.025,0.001,0.000,0.108,57.894,17.273,0,1382400
3,0.008,0.007,3.202,0.002,50.613,0.000,0.000,0.129,53.968,18.529,0,1382400
4,0.012,0.009,3.582,0.002,47.409,0.001,0.000,0.073,51.094,19.572,0,1382400
5,0.008,0.004,2.568,0.001,48.095,0.001,0.000,0.120,50.804,19.684,0,1382400
6,0.012,0.007,3.443,0.002,46.166,0.001,0.000,0.090,49.728,20.110,0,1382400
7,0.008,0.006,2.656,0.001,44.097,0.001,0.000,0.091,46.865,21.338,0,1382400
8,0.008,0.006,2.671,0.002,40.543,0.000,0.000,0.074,43.311,23.089,0,1382400
9,0.005,0.004,2.579,0.002,46.435,0.001,0.000,0.080,49.111,20.362,0,1382400
10,0.009,0.006,2.410,0.001,50.323,0.001,0.000,0.123,52.877,18.912,0,1382400
11,0.010,0.008,3.448,0.001,46.226,0.001,0.000,0.082,49.781,20.088,0,1382400
12,0.010,0.006,2.516,0.002,47.977,0.001,0.000,0.072,50.588,19.768,0,1382400
13,0.009,0.004,2.543,0.002,46.859,0.001,0.000,0.083,49.506,20.200,0,1382400
14,0.008,0.006,2.536,0.002,53.066,0.001,0.000,0.093,55.716,17.948,0,1382400
15,0.008,0.006,2.737,0.002,40.754,0.001,0.000,0.082,43.594,22.939,0,1382400
16,0.012,0.006,2.407,0.001,39.932,0.000,0.000,0.091,42.454,23.555,0,1382400
17,0.007,0.005,2.910,0.001,50.038,0.000,0.000,0.079,53.045,18.852,0,1382400
18,0.008,0.006,2.530,0.002,43.486,0.000,0.000,0.068,46.105,21.690,0,1382400
19,0.005,0.004,2.568,0.001,47.581,0.000,0.000,0.160,50.326,19.871,0,1382400
20,0.008,0.007,2.535,0.002,43.127,0.000,0.000,0.081,45.766,21.850,0,1382400
21,0.013,0.006,2.541,0.001,46.019,0.000,0.000,0.072,48.657,20.552,0,1382400
22,0.007,0.004,2.551,0.002,45.826,0.001,0.000,0.084,48.479,20.628,0,1382400
23,0.008,0.006,2.541,0.002,48.135,0.000,0.000,0.075,50.773,19.696,0,1382400
24,0.006,0.005,2.541,0.002,45.498,0.000,0.000,0.079,48.137,20.774,0,1382400
25,0.007,0.007,2.526,0.002,49.834,0.001,0.000,0.072,52.454,19.064,0,1382400
26,0.008,0.004,2.507,0.002,43.194,0.000,0.000,0.081,45.803,21.833,0,1382400
27,0.008,0.006,2.540,0.001,49.625,0.001,0.000,0.071,52.257,19.136,0,1382400
28,0.005,0.004,2.541,0.002,44.725,0.000,0.000,0.080,47.364,21.113,0,1382400
29,0.008,0.006,2.550,0.001,46.137,0.001,0.000,0.071,48.779,20.501,0,1382400
