frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,50.776,0.021,4.985,0.001,45.499,0.399,37.146,0.100,138.942,7.197,1,1382400
1,0.011,0.006,3.317,0.001,42.383,0.000,0.000,0.192,45.913,21.780,0,1382400
2,0.018,0.011,4.818,0.001,35.594,0.000,0.000,0.087,40.532,24.672,0,1382400
3,0.010,0.005,2.974,0.001,34.052,0.000,0.000,0.105,37.148,26.919,0,1382400
4,0.012,0.006,2.988,0.001,31.003,0.000,0.000,0.080,34.091,29.333,0,1382400
5,0.010,0.007,2.560,0.001,33.975,0.000,0.000,0.095,36.651,27.285,0,1382400
6,0.009,0.007,2.627,0.001,37.187,0.000,0.000,0.096,39.928,25.045,0,1382400
7,0.008,0.007,2.962,0.001,34.121,0.000,0.000,0.111,37.212,26.873,0,1382400
8,0.013,0.007,3.062,0.001,37.135,0.012,0.000,0.158,40.391,24.758,0,1382400
9,0.011,0.008,2.588,0.001,36.246,0.000,0.000,0.139,38.994,25.645,0,1382400
10,0.012,0.009,3.517,0.001,41.192,0.001,0.000,0.200,44.933,22.255,0,1382400
11,0.022,0.012,5.247,0.001,38.707,0.001,0.000,0.150,44.142,22.654,0,1382400
12,0.015,0.008,3.942,0.001,32.868,0.000,0.000,0.098,36.935,27.075,0,1382400
13,0.013,0.007,3.213,0.001,37.781,0.000,0.000,0.145,41.163,24.294,0,1382400
14,0.014,0.008,4.175,0.001,31.155,0.000,0.000,0.074,35.429,28.225,0,1382400
15,0.008,0.004,2.553,0.001,35.964,0.000,0.000,0.105,38.637,25.882,0,1382400
16,0.014,0.007,3.201,0.001,38.636,0.000,0.000,0.154,42.017,23.800,0,1382400
17,0.018,0.010,3.766,0.001,40.142,0.001,0.000,0.228,44.167,22.641,0,1382400
18,0.018,0.011,5.276,0.001,37.130,0.000,0.000,0.109,42.548,23.503,0,1382400
19,0.009,0.007,3.246,0.001,32.260,0.000,0.000,0.082,35.609,28.083,0,1382400
20,0.011,0.006,2.476,0.001,27.107,0.000,0.000,0.074,29.675,33.698,0,1382400
21,0.009,0.004,2.519,0.001,37.299,0.000,0.000,0.155,39.989,25.007,0,1382400
22,0.013,0.011,4.314,0.001,36.824,0.000,0.000,0.106,41.272,24.229,0,1382400
23,0.009,0.007,3.057,0.001,34.003,0.000,0.000,0.083,37.163,26.908,0,1382400
24,0.012,0.006,2.457,0.001,36.743,0.000,0.000,0.286,39.508,25.311,0,1382400
25,0.013,0.007,3.303,0.001,36.366,0.000,0.000,0.100,39.793,25.130,0,1382400
26,0.011,0.006,3.102,0.001,36.493,0.000,0.000,0.094,39.710,25.182,0,1382400
27,0.008,0.006,2.867,0.001,36.112,0.000,0.000,0.082,39.079,25.589,0,1382400
28,0.009,0.005,2.792,0.001,38.256,0.000,0.000,0.086,41.152,24.300,0,1382400
29,0.012,0.006,2.680,0.001,34.537,0.000,0.000,0.109,37.347,26.776,0,1382400
