frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,54.167,0.007,2.694,0.001,37.025,0.272,24.849,0.071,119.097,8.397,1,1382400
1,0.006,0.005,2.563,0.000,30.627,0.000,0.000,0.072,33.276,30.052,0,1382400
2,0.006,0.005,2.529,0.000,28.247,0.000,0.000,0.071,30.860,32.404,0,1382400
3,0.007,0.004,2.339,0.001,27.802,0.000,0.000,0.074,30.228,33.082,0,1382400
4,0.010,0.005,2.328,0.000,29.586,0.000,0.000,0.078,32.009,31.241,0,1382400
5,0.006,0.006,2.419,0.000,28.214,0.000,0.000,0.069,30.717,32.555,0,1382400
6,0.008,0.004,2.315,0.001,28.118,0.000,0.000,0.073,30.521,32.764,0,1382400
7,0.006,0.005,2.395,0.001,28.605,0.000,0.000,0.069,31.082,32.173,0,1382400
8,0.007,0.004,2.234,0.000,27.815,0.000,0.000,0.071,30.134,33.185,0,1382400
9,0.006,0.004,2.319,0.000,29.240,0.000,0.000,0.075,31.648,31.598,0,1382400
10,0.008,0.005,2.318,0.000,27.734,0.000,0.000,0.070,30.138,33.181,0,1382400
11,0.005,0.004,2.351,0.000,27.988,0.000,0.000,0.069,30.419,32.874,0,1382400
12,0.007,0.004,2.307,0.000,27.980,0.000,0.000,0.069,30.369,32.928,0,1382400
13,0.007,0.004,2.400,0.001,30.196,0.000,0.000,0.068,32.678,30.602,0,1382400
14,0.006,0.004,2.423,0.001,29.143,0.000,0.000,0.069,31.647,31.598,0,1382400
15,0.006,0.004,2.335,0.000,27.604,0.000,0.000,0.077,30.028,33.303,0,1382400
16,2.448,0.006,2.421,0.001,29.324,0.000,0.000,0.078,34.279,29.172,0,1382400
17,1.459,0.005,2.398,0.001,29.682,0.000,0.000,0.076,33.623,29.741,0,1382400
18,1.173,0.004,2.330,0.000,27.932,0.000,0.000,0.078,31.519,31.727,0,1382400
19,2.917,0.005,2.505,0.001,30.480,0.000,0.000,0.079,35.989,27.786,0,1382400
20,0.227,0.005,2.357,0.001,28.777,0.000,0.000,0.074,31.441,31.805,0,1382400
21,2.075,0.005,2.350,0.001,31.888,0.000,0.000,0.074,36.395,27.477,0,1382400
22,0.005,0.004,2.357,0.000,27.268,0.000,0.000,0.078,29.714,33.654,0,1382400
23,2.712,0.005,2.579,0.001,30.286,0.000,0.000,0.078,35.662,28.041,0,1382400
24,0.303,0.006,2.697,0.001,28.613,0.000,0.000,0.077,31.698,31.548,0,1382400
25,1.899,0.005,2.562,0.000,29.292,0.000,0.000,0.077,33.838,29.553,0,1382400
26,1.267,0.004,2.319,0.001,27.469,0.000,0.000,0.076,31.139,32.114,0,1382400
27,3.524,0.006,2.587,0.000,28.032,0.000,0.000,0.078,34.230,29.214,0,1382400
28,2.500,0.006,2.342,0.001,27.532,0.000,0.000,0.083,32.465,30.802,0,1382400
29,3.471,0.007,2.631,0.001,29.021,0.000,0.000,0.078,35.211,28.400,0,1382400
