frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,45.501,0.012,2.773,0.001,52.671,2.318,23.710,0.132,127.134,7.866,3,1382400
1,0.011,0.007,3.364,0.002,48.141,1.676,0.000,0.071,53.278,18.769,2,1382400
2,0.006,0.005,2.433,0.001,46.147,1.492,0.000,0.073,50.160,19.936,2,1382400
3,0.006,0.005,2.493,0.001,43.912,1.494,0.000,0.078,47.993,20.836,2,1382400
4,0.010,0.006,2.970,0.002,49.369,1.478,0.000,0.081,53.920,18.546,2,1382400
5,0.010,0.006,2.474,0.001,44.859,0.834,0.000,0.073,48.261,20.721,1,1382400
6,0.007,0.005,2.592,0.002,48.730,2.389,0.000,0.080,53.809,18.584,3,1382400
7,0.007,0.006,2.532,0.001,47.304,2.861,0.000,0.071,52.788,18.944,3,1382400
8,0.008,0.004,2.565,0.001,44.752,1.458,0.000,0.082,48.875,20.460,2,1382400
9,0.008,0.006,2.515,0.001,47.810,1.434,0.000,0.071,51.850,19.287,2,1382400
10,0.006,0.004,2.598,0.002,46.367,1.398,0.000,0.081,50.461,19.817,2,1382400
11,0.008,0.006,2.572,0.002,46.065,0.708,0.000,0.075,49.440,20.227,1,1382400
12,0.007,0.005,2.891,0.002,46.291,1.430,0.000,0.080,50.711,19.720,2,1382400
13,0.008,0.006,2.600,0.002,41.502,0.737,0.000,0.072,44.932,22.256,1,1382400
14,0.006,0.005,2.538,0.001,46.708,0.780,0.000,0.078,50.121,19.952,1,1382400
15,0.008,0.006,2.595,0.002,52.547,1.550,0.000,0.079,56.793,17.608,2,1382400
16,0.008,0.005,2.554,0.001,43.314,0.827,0.000,0.082,46.796,21.370,1,1382400
17,0.009,0.006,2.437,0.001,57.255,1.832,0.000,0.157,61.702,16.207,1,1382400
18,0.013,0.011,4.031,0.001,48.438,1.020,0.000,0.102,53.625,18.648,1,1382400
19,0.009,0.005,2.635,0.001,48.974,0.783,0.000,0.081,52.493,19.050,1,1382400
20,0.011,0.006,2.580,0.002,48.719,0.772,0.000,0.074,52.169,19.169,1,1382400
21,0.006,0.005,2.591,0.002,43.670,0.729,0.000,0.082,47.091,21.236,1,1382400
22,0.011,0.006,2.533,0.001,43.480,1.444,0.000,0.072,47.554,21.029,2,1382400
23,0.008,0.004,2.580,0.001,46.352,2.263,0.000,0.081,51.297,19.494,3,1382400
24,0.008,0.007,2.573,0.001,45.341,1.455,0.000,0.072,49.461,20.218,2,1382400
25,0.006,0.004,2.528,0.002,41.737,1.424,0.000,0.082,45.788,21.840,2,1382400
26,0.007,0.006,2.615,0.002,44.036,1.663,0.000,0.078,48.413,20.656,2,1382400
27,0.006,0.004,2.651,0.002,46.733,0.737,0.000,0.073,50.211,19.916,1,1382400
28,0.008,0.004,2.579,0.002,50.637,0.777,0.000,0.072,54.083,18.490,1,1382400
29,0.007,0.004,2.605,0.002,49.123,0.800,0.000,0.081,52.626,19.002,1,1382400
