frame_id,select_ms,dqbuf_ms,rga_ms,input_prepare_ms,model_total_ms,draw_ms,snapshot_ms,qbuf_ms,total_ms,fps,detect_count,bytesused
0,47.090,0.015,3.197,0.001,59.053,1.074,30.721,0.136,141.306,7.077,1,1382400
1,0.012,0.007,3.584,0.002,33.442,0.001,0.000,0.059,37.111,26.946,0,1382400
2,0.006,0.004,2.889,0.001,44.074,0.000,0.000,0.073,47.049,21.254,0,1382400
3,0.006,0.004,2.624,0.001,46.768,0.001,0.000,0.091,49.498,20.203,0,1382400
4,0.007,0.006,2.705,0.002,49.845,0.001,0.000,0.072,52.643,18.996,0,1382400
5,0.006,0.004,2.448,0.001,46.587,1.032,0.000,0.081,50.163,19.935,1,1382400
6,0.007,0.006,2.600,0.001,42.556,0.000,0.000,0.071,45.246,22.101,0,1382400
7,0.005,0.004,2.675,0.002,51.127,0.000,0.000,0.079,53.898,18.554,0,1382400
8,0.008,0.006,2.624,0.002,44.521,0.000,0.000,0.072,47.239,21.169,0,1382400
9,0.008,0.004,2.566,0.001,47.039,0.001,0.000,0.082,49.706,20.118,0,1382400
10,0.010,0.006,2.461,0.001,44.472,0.000,0.000,0.076,47.030,21.263,0,1382400
11,0.009,0.004,2.593,0.002,43.735,0.001,0.000,0.080,46.429,21.538,0,1382400
12,0.008,0.006,2.557,0.001,39.880,0.001,0.000,0.083,42.541,23.507,0,1382400
13,0.008,0.006,2.485,0.001,44.847,0.000,0.000,0.075,47.427,21.085,0,1382400
14,0.008,0.006,2.518,0.001,46.710,0.000,0.000,0.082,49.329,20.272,0,1382400
15,0.011,0.006,2.552,0.002,48.301,0.000,0.000,0.081,50.959,19.624,0,1382400
16,0.009,0.006,2.522,0.001,35.649,0.001,0.000,0.045,38.237,26.153,0,1382400
17,0.007,0.003,2.417,0.001,36.571,0.001,0.000,0.099,39.101,25.575,0,1382400
18,0.009,0.005,3.347,0.001,48.172,0.000,0.000,0.070,51.609,19.377,0,1382400
19,0.006,0.005,2.547,0.002,47.581,0.000,0.000,0.084,50.230,19.908,0,1382400
20,0.007,0.006,2.487,0.001,48.238,0.000,0.000,0.081,50.825,19.675,0,1382400
21,0.012,0.006,2.537,0.001,46.997,0.000,0.000,0.081,49.639,20.146,0,1382400
22,0.008,0.006,2.489,0.001,50.117,0.001,0.000,0.072,52.697,18.976,0,1382400
23,0.006,0.005,2.528,0.002,48.399,0.001,0.000,0.081,51.027,19.598,0,1382400
24,0.011,0.006,2.564,0.002,49.924,0.000,0.000,0.072,52.583,19.017,0,1382400
25,0.008,0.004,2.543,0.002,51.326,0.000,0.000,0.075,53.963,18.531,0,1382400
26,0.010,0.005,2.544,0.001,50.810,0.000,0.000,0.078,53.454,18.708,0,1382400
27,0.007,0.006,2.552,0.002,49.113,0.000,0.000,0.073,51.758,19.321,0,1382400
28,0.006,0.004,2.551,0.001,49.541,0.000,0.000,0.078,52.186,19.162,0,1382400
29,0.007,0.006,2.570,0.002,46.878,0.000,0.000,0.072,49.540,20.186,0,1382400
